rank,SMILES,Metal,Acid_conc_M,Temperature_K,Pred_LogD,lo90,hi90,UCB_logD,confidence_pred_err,predicted_zone
205,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,Pr(III),1.0,298.15,0.9545,-1.0586,2.9676,2.9676,0.7405,medium (0.5<=D<=10)
206,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,Nd(III),2.993865031,298.15,-0.1437,-3.2509,2.9634,2.9634,1.1429,medium (0.5<=D<=10)
207,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,Dy(III),3.0,298.15,-0.5519,-4.051,2.9473,2.9473,1.2871,low (D<0.5)
208,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,Am(III),5.0,298.15,2.7925,2.6379,2.947,2.947,0.0569,high (D>10)
209,Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,Am(III),5.0,298.15,2.7925,2.6379,2.947,2.947,0.0569,high (D>10)
210,CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),3.0,298.15,2.3618,1.7917,2.9319,2.9319,0.2097,high (D>10)
211,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,Am(III),7.0,298.15,2.6605,2.39,2.931,2.931,0.0995,high (D>10)
212,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)n4c5ccccc5c5ccccc54)nc3c2n1)n1c2ccccc2c2ccccc21,Eu(III),0.5,298.15,-0.9492,-4.8285,2.9301,2.9301,1.4269,low (D<0.5)
213,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,Am(III),1.0,298.15,1.3705,-0.1878,2.9288,2.9288,0.5732,high (D>10)
214,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,Nd(III),0.993865031,298.15,1.252,-0.4163,2.9203,2.9203,0.6137,high (D>10)
215,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,Eu(III),1.0,298.15,0.4795,-1.9541,2.913,2.913,0.8951,medium (0.5<=D<=10)
216,CCCCNC(=O)CC(=O)NCc1ccccc1,Am(III),1.0,298.15,-0.1085,-3.1235,2.9064,2.9064,1.109,medium (0.5<=D<=10)
217,O=C(c1ccc2ccc3ccc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,Eu(III),0.1,298.15,-0.4665,-3.8335,2.9005,2.9005,1.2385,low (D<0.5)
218,CCCCCCOP(=O)(CCCCCC)CC(=O)N(CC)CC,Am(III),5.0,298.15,1.0875,-0.7212,2.8962,2.8962,0.6653,high (D>10)
219,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),3.0,298.15,0.5278,-1.8015,2.8571,2.8571,0.8568,medium (0.5<=D<=10)
220,CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,Am(III),3.0,298.15,0.5278,-1.8015,2.8571,2.8571,0.8568,medium (0.5<=D<=10)
221,CCCCCCN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Am(III),0.009332543,298.15,0.6471,-1.5406,2.8347,2.8347,0.8047,medium (0.5<=D<=10)
222,CCCCNC(=O)CC(=O)Nc1ccc(NC(=O)CC(=O)NCCCC)cc1,Am(III),0.009332543,298.15,0.6471,-1.5406,2.8347,2.8347,0.8047,medium (0.5<=D<=10)
223,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Am(III),1.0,298.15,0.3656,-2.0795,2.8108,2.8108,0.8994,medium (0.5<=D<=10)
224,CCCCCCCCNC(=O)CC(=O)NCc1cccc(CNC(=O)CC(=O)NCCCCCCCC)c1,Am(III),0.05623413,298.15,0.6667,-1.476,2.8094,2.8094,0.7882,medium (0.5<=D<=10)
225,CCCCCCCCNC(=O)C(CCCCCCC(C(=O)NCCCCCCCC)C(=O)NCCCCCCCC)C(=O)NCCCCCCCC,Am(III),0.107151931,298.15,1.0791,-0.6405,2.7987,2.7987,0.6325,high (D>10)
226,CCCCCCCCN(C)C(=O)CC(=O)Nc1ccc(NC(=O)CC(=O)N(C)CCCCCCCC)cc1,Am(III),0.107151931,298.15,1.0791,-0.6405,2.7987,2.7987,0.6325,high (D>10)
227,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,Am(III),7.0,298.15,2.6393,2.5034,2.7752,2.7752,0.05,high (D>10)
228,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,Er(III),3.0,298.15,2.3002,1.8359,2.7645,2.7645,0.1708,high (D>10)
229,CCCCCCCCNC(=O)c1cnccn1,Am(III),3.0,298.15,1.907,1.0744,2.7396,2.7396,0.3063,high (D>10)
230,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Th(IV),1.0,298.15,-0.3079,-3.3359,2.7202,2.7202,1.1138,low (D<0.5)
231,CCCCCCCCNC(=O)C(Cc1cccc(CC(C(=O)NCCCCCCCC)C(=O)NCCCCCCCC)c1)C(=O)NCCCCCCCC,Am(III),0.009332543,298.15,0.6939,-1.3308,2.7186,2.7186,0.7448,medium (0.5<=D<=10)
232,CCCCNC(=O)CC(=O)Nc1cccc(NC(=O)CC(=O)NCCCC)c1,Am(III),0.009332543,298.15,0.6939,-1.3308,2.7186,2.7186,0.7448,medium (0.5<=D<=10)
233,CCCCNC(=O)C(CC)C(=O)Nc1cccc(NC(=O)C(CC)C(=O)NCCCC)c1,Am(III),0.028183829,298.15,0.6446,-1.4268,2.716,2.716,0.7619,medium (0.5<=D<=10)
234,CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),1.0,298.15,-0.0901,-2.8559,2.6757,2.6757,1.0174,medium (0.5<=D<=10)
235,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,Am(III),1.0,298.15,0.4453,-1.7806,2.6711,2.6711,0.8188,medium (0.5<=D<=10)
236,CCCCCCCCNC(=O)C(CC)C(=O)NCc1ccc(CNC(=O)C(CC)C(=O)NCCCCCCCC)cc1,Am(III),1.0,298.15,0.1513,-2.3617,2.6644,2.6644,0.9244,medium (0.5<=D<=10)
237,CCCCNC(=S)C(CC)C(=S)Nc1ccc(NC(=S)C(CC)C(=S)NCCCC)cc1,Am(III),1.0,298.15,0.1513,-2.3617,2.6644,2.6644,0.9244,medium (0.5<=D<=10)
238,CCCCNC(=O)CC(=O)NCc1ccc(CNC(=O)CC(=O)NCCCC)cc1,Am(III),4.0,298.15,0.7195,-1.2031,2.6421,2.6421,0.7072,medium (0.5<=D<=10)
239,CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,Am(III),1.0,298.15,0.4279,-1.7675,2.6234,2.6234,0.8076,medium (0.5<=D<=10)
240,CCCCN(CCCC)C(=O)CCC,U(VI),1.0,298.15,0.8724,-0.8534,2.5982,2.5982,0.6348,medium (0.5<=D<=10)
241,CCCCCCOP(=O)(CC(=O)N(CCCC)CCCC)OCCCCCC,Ce(III),1.0,298.15,0.3854,-1.801,2.5718,2.5718,0.8042,medium (0.5<=D<=10)
242,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,Ce(III),0.03801894,298.15,1.5884,0.6097,2.567,2.567,0.36,high (D>10)
243,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,Eu(III),0.1,298.15,0.0076,-2.5379,2.5531,2.5531,0.9363,medium (0.5<=D<=10)
244,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,Pr(III),1.0,298.15,0.773,-1.0061,2.5522,2.5522,0.6544,medium (0.5<=D<=10)
245,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,Ce(III),5.0,298.15,0.4422,-1.4596,2.3439,2.3439,0.6995,medium (0.5<=D<=10)
246,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Am(III),1.0,298.15,0.9609,-0.3147,2.2365,2.2365,0.4692,medium (0.5<=D<=10)
247,CCCCNC(=S)C(CC)C(=S)Nc1ccccc1NC(=S)C(CC)C(=S)NCCCC,Am(III),3.0,298.15,-0.0572,-2.2343,2.1199,2.1199,0.8008,medium (0.5<=D<=10)
248,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,Eu(III),1.0,298.15,-0.7069,-3.5299,2.1161,2.1161,1.0384,low (D<0.5)
249,CCCCNC(=S)CC(=S)Nc1cccc(NC(=S)CC(=S)NCCCC)c1,Am(III),4.0,298.15,0.3473,-1.3901,2.0847,2.0847,0.6391,medium (0.5<=D<=10)
250,CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,Am(III),0.5,298.15,-0.2289,-2.535,2.0772,2.0772,0.8483,medium (0.5<=D<=10)
251,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,Eu(III),1.0,298.15,0.0261,-2.0235,2.0756,2.0756,0.7539,medium (0.5<=D<=10)
252,CCCCP(=O)(c1ccccc1)c1ccc2ccc3cccnc3c2n1,Eu(III),0.3,298.15,1.2615,0.4999,2.023,2.023,0.2801,high (D>10)
253,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,Am(III),1.0,298.15,1.7686,1.5148,2.0224,2.0224,0.0934,high (D>10)
254,CCCCP(=O)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(CCCC)c4ccccc4)nc3c2n1,Eu(III),0.001,298.15,1.1316,0.2474,2.0157,2.0157,0.3252,high (D>10)
255,CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,Eu(III),0.3,298.15,1.0444,0.0905,1.9982,1.9982,0.3509,high (D>10)
256,CCCCNC(=S)CC(=S)NCc1cccc(CNC(=S)CC(=S)NCCCC)c1,Am(III),2.0,298.15,0.211,-1.5701,1.9921,1.9921,0.6552,medium (0.5<=D<=10)
257,CCCCCCCCN(C)C(=O)C(CC)C(=O)NCc1ccc(CNC(=O)C(CC)C(=O)N(C)CCCCCCCC)cc1,Am(III),2.0,298.15,0.211,-1.5701,1.9921,1.9921,0.6552,medium (0.5<=D<=10)
258,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)C(C)C)C(C)C,Th(IV),3.0,298.15,-0.1333,-2.2524,1.9857,1.9857,0.7794,medium (0.5<=D<=10)
259,C1COCCOCCOCCOCCOCCO1,La(III),0.05,293.15,-0.0911,-2.1614,1.9792,1.9792,0.7615,medium (0.5<=D<=10)
260,CCCCN(C)C(=O)CC(=O)Nc1cccc(NC(=O)CC(=O)N(C)CCCC)c1,Am(III),0.107151931,298.15,0.8636,-0.2477,1.9748,1.9748,0.4088,medium (0.5<=D<=10)
261,CCCCCCCCNC(=O)CC(=O)NCc1ccccc1,Am(III),2.0,298.15,-0.55,-3.0625,1.9626,1.9626,0.9242,low (D<0.5)
262,CCCCNC(=O)C(CC)C(=O)Nc1ccccc1NC(=O)C(CC)C(=O)NCCCC,Am(III),0.028183829,298.15,0.5813,-0.7833,1.9459,1.9459,0.502,medium (0.5<=D<=10)
263,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,Eu(III),2.0,298.15,0.456,-1.0208,1.9328,1.9328,0.5432,medium (0.5<=D<=10)
264,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,Ce(III),5.0,298.15,-0.0819,-2.0929,1.9292,1.9292,0.7397,medium (0.5<=D<=10)
265,CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,Am(III),4.0,298.15,0.2304,-1.4047,1.8655,1.8655,0.6014,medium (0.5<=D<=10)
266,CCCCCCCCCCCCCCOc1cc(CNC(=O)CC(=O)NCCCC)cc(CNC(=O)CC(=O)NCCCC)c1,Am(III),2.0,298.15,0.5478,-0.6785,1.7742,1.7742,0.4511,medium (0.5<=D<=10)
267,CCCCCNC(=O)CC(=O)NCc1ccc(CNC(=O)CC(=O)NCCCCC)cc1,Am(III),3.0,298.15,0.0659,-1.6328,1.7646,1.7646,0.6248,medium (0.5<=D<=10)
268,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,Eu(III),0.001,298.15,1.0889,0.4606,1.7172,1.7172,0.2311,high (D>10)
269,CCCCc1cc(-c2ccc3ccc4ccc(-c5cc(CCCC)[nH]n5)nc4c3n2)n[nH]1,Eu(III),1.0,298.15,0.093,-1.4837,1.6697,1.6697,0.58,medium (0.5<=D<=10)
270,CCCCNC(=S)C(CC)C(=S)NCc1ccc(CNC(=S)C(CC)C(=S)NCCCC)cc1,Am(III),4.0,298.15,-1.2972,-4.2607,1.6663,1.6663,1.0901,low (D<0.5)
271,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),1.0,298.15,0.9382,0.2192,1.6572,1.6572,0.2645,medium (0.5<=D<=10)
272,O=C(c1cccc(-c2cccc(C(=O)N3CCCC3)n2)n1)N1CCCC1,Eu(III),1.0,298.15,0.2495,-1.1404,1.6393,1.6393,0.5112,medium (0.5<=D<=10)
273,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,Am(III),2.0,298.15,0.2462,-1.1386,1.6311,1.6311,0.5094,medium (0.5<=D<=10)
274,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Nd(III),0.2,298.15,-1.1317,-3.8655,1.6022,1.6022,1.0056,low (D<0.5)
275,CCCCNC(=O)C(CC)C(=O)NCc1ccc(CNC(=O)C(CC)C(=O)NCCCC)cc1,Am(III),3.0,298.15,0.1692,-1.2554,1.5939,1.5939,0.524,medium (0.5<=D<=10)
276,CCCCCOc1cc2c(OCC(=O)N(CC)CC)c(c1)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCC)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),0.3,293.15,-1.157,-3.8982,1.5843,1.5843,1.0083,low (D<0.5)
277,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCC)CCCCCC)C(C)C)C(C)C,Th(IV),2.0,298.15,-0.3002,-2.0202,1.4198,1.4198,0.6327,medium (0.5<=D<=10)
278,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),0.5,298.15,-0.7039,-2.7912,1.3835,1.3835,0.7678,low (D<0.5)
279,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),2.0,298.15,-0.8296,-3.0147,1.3556,1.3556,0.8038,low (D<0.5)
280,O=C(c1cccc(C(=O)N2CCCC2)n1)N1CCCC1,Eu(III),1.0,298.15,-0.0016,-1.3538,1.3506,1.3506,0.4974,medium (0.5<=D<=10)
281,CCCCN(C)C(=O)CC(=O)NCc1cccc(CNC(=O)CC(=O)N(C)CCCC)c1,Am(III),0.03801894,298.15,0.4042,-0.5274,1.3358,1.3358,0.3427,medium (0.5<=D<=10)
282,CCCCCCCCNC(=O)CC(=O)NCc1ccc(CNC(=O)CC(=O)NCCCCCCCC)cc1,Am(III),0.5,298.15,-0.3399,-1.9975,1.3177,1.3177,0.6097,low (D<0.5)
283,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Am(III),1.0,298.15,-0.8587,-2.7952,1.0778,1.0778,0.7123,low (D<0.5)
284,CCCCCCCCc1cc(-c2ccc3ccc4ccc(-c5cc(CCCCCCCC)[nH]n5)nc4c3n2)n[nH]1,Eu(III),0.5,298.15,-0.79,-2.3938,0.8139,0.8139,0.59,low (D<0.5)
285,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCc5ccccc54)nc3c2n1)N1CCCc2ccccc21,Eu(III),0.5,298.15,-0.8781,-2.3749,0.6187,0.6187,0.5506,low (D<0.5)
286,CCCCNC(=S)CC(=S)NCc1ccc(CNC(=S)CC(=S)NCCCC)cc1,Am(III),3.0,298.15,-0.6676,-1.8289,0.4936,0.4936,0.4271,low (D<0.5)
287,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,Am(III),4.0,298.15,-0.6536,-1.5096,0.2024,0.2024,0.3149,low (D<0.5)
288,CCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,Eu(III),0.5,298.15,-0.804,-1.5124,-0.0955,-0.0955,0.2606,low (D<0.5)
289,CC(C)Cc1cc(-c2ccc3ccc4ccc(-c5cc(CC(C)C)[nH]n5)nc4c3n2)n[nH]1,Eu(III),0.5,298.15,-0.804,-1.5124,-0.0955,-0.0955,0.2606,low (D<0.5)
290,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCc5ccccc54)nc3c2n1)N1CCc2ccccc21,Eu(III),0.5,298.15,-0.804,-1.5124,-0.0955,-0.0955,0.2606,low (D<0.5)
291,CCN(CC)C(=O)COc1c2cccc1Cc1cccc(c1OCC(=O)N(CC)CC)Cc1cccc(c1OCC(=O)N(CC)CC)Cc1cccc(c1OCC(=O)N(CC)CC)Cc1cccc(c1OCC(=O)N(CC)CC)Cc1cccc(c1OCC(=O)N(CC)CC)Cc1cccc(c1OCC(=O)N(CC)CC)Cc1cccc(c1OCC(=O)N(CC)CC)C2,Eu(III),0.7,293.15,-1.7862,-3.1084,-0.4641,-0.4641,0.4863,low (D<0.5)
292,CCN(CC)C(=O)COc1c2cc(OCc3ccccc3)cc1Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),4.0,298.15,-1.557,-2.3159,-0.7981,-0.7981,0.2792,low (D<0.5)
293,CCN(CC)C(=O)COc1c2cc(C(C)(C)C)cc1Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)Cc1cc(C(C)(C)C)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),0.5,293.15,-1.9887,-3.1091,-0.8682,-0.8682,0.4121,low (D<0.5)
294,CCN(CC)C(=O)COc1c2cc(OCc3ccccc3)cc1Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCc3ccccc3)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),3.82,296.15,-2.7634,-2.8993,-2.6275,-2.6275,0.05,low (D<0.5)
295,CCCCCCCCOc1cc2c(OCC(=O)N(CC)CC)c(c1)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OCCCCCCCC)cc(c1OCC(=O)N(CC)CC)C2,Eu(III),1.0,296.15,-2.9693,-3.2175,-2.7211,-2.7211,0.0913,low (D<0.5)
